store_id,store_name,store_owner_id,contact_info,description,store_type_id,creation_date,rating,address
0,"Schneider, Fitzpatrick and Hines",53,842-627-6652x68464,Career participant and through ask drop environment.,5,2020-07-24,4.88,"984 Ethan Via Apt. 900
Garrettport, AL 78388"
1,Watkins and Sons,54,720.595.8886x82196,Friend tell assume worry sort test.,4,2023-10-02,3.49,"7923 Emily Causeway
North Jeremy, AR 92067"
2,Williams and Sons,55,(860)584-6665,Member idea especially believe network.,5,2023-10-28,4.26,"79273 Brown Port
Allisonbury, FL 54448"
3,Livingston-Randall,56,921-325-2054x883,Despite newspaper Mrs treatment.,5,2023-07-05,3.23,"077 Felicia Stravenue Apt. 239
North Brandonberg, WV 51799"
4,Jenkins Group,57,(669)634-5647x606,Suffer son he me cut.,3,2022-08-24,4.21,"12104 Gonzales Turnpike
Toddstad, AL 90666"
5,Morrison Ltd,59,001-966-268-8638x54882,Say heavy those through summer catch.,2,2021-01-28,4.3,"622 Ryan View
Patriciastad, GU 31771"
6,Williams-Hodge,60,450-886-5556x769,Fast claim individual community determine him drop.,3,2020-02-02,3.79,"34252 Hull Extension Suite 958
North Jacksonview, GA 72504"
7,"Clark, Gray and Watkins",63,571.577.8145x2872,Mind resource place poor save leader road.,3,2020-10-05,4.6,"2277 Matthew Square
Jasonchester, ME 28064"
8,Bailey Ltd,64,737.979.2634,Name try media arrive woman.,2,2021-11-02,4.88,"6116 Elizabeth Haven Suite 209
Jefferyshire, VT 36597"
9,"Franklin, Simmons and Dominguez",65,001-631-751-0230x50192,Tv trouble light thus region card huge.,2,2021-05-19,3.14,"7295 Adam Lodge
Scottville, IN 56404"
10,Cohen-Zimmerman,66,(226)435-0894x4646,Like player air rock.,3,2022-01-08,3.39,"USS Martin
FPO AP 25335"
11,Smith PLC,68,+1-959-672-7467x87706,Decide that share population be.,4,2023-05-10,4.55,"957 Kyle Lakes
West Stevenfurt, FM 65801"
12,Mckee-Harris,69,717.786.0143x13820,Avoid nothing site always yeah.,4,2023-01-04,3.29,"93137 Monica Spur Suite 795
East Brianmouth, MA 90468"
13,"Taylor, Hall and Newman",72,639-493-7841x3644,Law single possible five traditional sister.,3,2021-07-14,4.98,"0425 James Gateway Suite 031
Patrickhaven, AR 04704"
14,Nash-Mooney,74,455-369-1042x40338,Service message current summer.,3,2023-02-05,4.27,"6056 Roman Roads
Alvaradoberg, UT 19511"
